movieId;title;casts;director;writers;maturity;keywords;popularity;tagline;poster;backdrop;language;description;genres;companies;releaseDate;runtime;trailer;titleImage;dateAdded;views
70;Hugo;Ben Kingsley,Sacha Baron Cohen,Asa Butterfield,Chloë Grace Moretz,Ray Winstone;Martin Scorsese;John Logan;PG;library,clock,film director,key,toy;32.319043;One of the most legendary directors of our time takes you on an extraordinary adventure.;https://image.tmdb.org/t/p/w300/vDAhBTIHvIoNOlgCfmLirVgUK2p.jpg;https://image.tmdb.org/t/p/original/Aj81Gu3u1a64qXFOLDuF5gdxyy0.jpg;en;Hugo is an orphan boy living in the walls of a train station in 1930s Paris. He learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running. The only thing that he has left that connects him to his dead father is an automaton (mechanical man) that doesn't work without a special key which Hugo needs to find to unlock the secret he believes it contains. On his adventures, he meets with a shopkeeper, George Melies, who works in the train station and his adventure-seeking god-daughter. Hugo finds that they have a surprising connection to his father and the automaton, and he discovers it unlocks some memories the old man has buried inside regarding his past.;ADVENTURE,DRAMA,FAMILY;Paramount Pictures,Infinitum Nihil,GK Films;11-22-2011;1h 34m;video;https://image.tmdb.org/t/p/w500/6FnNa50Gjvg3cpEssc9bMxUJPv2.png;11-23-2023;122
71;Wild Wild West;Will Smith,Kevin Kline,Kenneth Branagh,Salma Hayek,M. Emmet Walsh;Barry Sonnenfeld;S. S. Wilson,Brent Maddock,Jeffrey Price,Peter S. Seaman;PG-13;steampunk,based on TV series,steam locomotive,drag;40.748915;It's a whole new west.;https://image.tmdb.org/t/p/w300/1AUzpDzJSecEBIgwUIPzL5KMuTQ.jpg;https://image.tmdb.org/t/p/original/9ecT7tkBsEeRY2xDRUxlkr7bQhY.jpg;en;Legless Southern inventor Dr. Arliss Loveless plans to rekindle the Civil War by assassinating President U.S. Grant. Only two men can stop him: gunfighter James West and master-of-disguise and inventor Artemus Gordon. The two must team up to thwart Loveless' plans.;ACTION,ADVENTURE,COMEDY,SCIENCE_FICTION,WESTERN;Todman,Simon,LeMasters Productions,Warner Bros.,Peters Entertainment,Sonnenfeld Josephson Worldwide Entertainment;6-29-1999;2h 6m;video;https://image.tmdb.org/t/p/w500/rPYtvK8zfGjhXzMI8NBHZ8seVXG.png;10-22-2023;234
72;The Mummy: Tomb of the Dragon Emperor;Brendan Fraser,Jet Li,John Hannah,Maria Bello,Luke Ford;Rob Cohen;Alfred Gough,Miles Millar;PG-13;Action,Fantasy,Mummy,Ancient China,Curse,Tomb,Emperor,Martial Arts,Undead;60.034162;A New Evil Awakens.;https://image.tmdb.org/t/p/w300/A3acM1lX5PNWQa6r5qeMAJOxbnT.jpg;https://image.tmdb.org/t/p/original/z1btePhD1jIDLbjy5OCnO0KVf5O.jpg;en;Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power.;ADVENTURE,ACTION,FANTASY;DC Comics,Dune Entertainment,Atlas Entertainment,Warner Bros.,DC Entertainment;7-1-2008;2h 6m;video;https://image.tmdb.org/t/p/w500/tnR67wWvXgvv9grNr0McWiz5BFt.png;10-5-2023;234
73;Suicide Squad;Will Smith,Margot Robbie,Joel Kinnaman,Viola Davis,Jared Leto;David Ayer;David Ayer;PG-13;DC Comics,shared universe,anti-hero,secret mission,villain;90.23792;Worst Heroes Ever;https://image.tmdb.org/t/p/w300/xFw9RXKZDvevAGocgBK0zteto4U.jpg;https://image.tmdb.org/t/p/original/8XyX5Us7uzwQdXtAdnhCB9Gquek.jpg;en;From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.;ACTION,ADVENTURE,CRIME,FANTASY,SCIENCE_FICTION;DC Comics,Dune Entertainment,Atlas Entertainment,Warner Bros.,DC Entertainment;8-2-2016;1h 46m;video;https://image.tmdb.org/t/p/w500/vcRpmqzV53RcaRjfS0V2nDQSKuB.png;9-30-2023;876
74;Evan Almighty;Steve Carell,Lauren Graham,John Goodman,Jimmy Bennett,John Michael Higgins;Tom Shadyac;Steve Oedekerk;PG;father-son relationship,daily life,married couple,support,father;27.082182;A comedy of biblical proportions.;https://image.tmdb.org/t/p/w300/5vjH8oQFZXJ0gTOPsJKWidVsWmg.jpg;https://image.tmdb.org/t/p/original/gdGIwCH9OS2w2USTKUlcTppXfXz.jpg;en;God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood.;FANTASY,COMEDY,FAMILY;Columbia Pictures,Universal Pictures,Spyglass Entertainment,Shady Acres Entertainment,Original Film,Playtone,Relativity Media;6-9-2007;1h 52m;video;https://images.cdn.prd.api.discomax.com/2023/04/10/fe7762fc-9526-3bce-b9c9-3f067623180c.png?w=1800&f=webp;9-10-2023;756
75;Edge of Tomorrow;Tom Cruise,Emily Blunt,Brendan Gleeson,Bill Paxton,Jonas Armstrong;Doug Liman;Christopher McQuarrie,Jez Butterworth,John-Henry Butterworth;PG-13;deja vu,time warp,restart,dystopia,war;79.456485;Live, Die, Repeat;https://image.tmdb.org/t/p/w300/xjw5trHV7Mwo61P0kCTy8paEkgO.jpg;https://image.tmdb.org/t/p/original/4V1yIoAKPMRQwGBaSses8Bp2nsi.jpg;en;Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.;ACTION,SCIENCE_FICTION;Village Roadshow Pictures,Warner Bros.,Viz Media,Province of British Columbia Production Services Tax Credit,3 Arts Entertainment,RatPac-Dune Entertainment;5-27-2014;2h 3m;video;https://image.tmdb.org/t/p/w500/yxga8TOfu0t3QIuFFz2CjyaXk5Y.png;1-7-2024;564
76;Waterworld;Kevin Costner,Chaim Girafi,Rick Aviles,R. D. Call,Zitto Kazann;Kevin Reynolds;Peter Rader,David Twohy;PG-13;ocean,tattoo,mutant,water,dystopia;44.640292;Beyond the horizon lies the secret to a new beginning.;https://image.tmdb.org/t/p/w300/pBjf3xzi6kClzWXiKMclMUX7dOP.jpg;https://image.tmdb.org/t/p/original/vHLyDk0uRb72xFeQjU1KJZ3g7hQ.jpg;en;In a futuristic world where the polar ice caps have melted and made Earth a liquid planet, a beautiful barmaid rescues a mutant seafarer from a floating island prison. They escape, along with her young charge, Enola, and sail off aboard his ship. But the trio soon becomes the target of a menacing pirate who covets the map to 'Dryland' – which is tattooed on Enola's back.;ADVENTURE,ACTION;Universal Pictures,Gordon Company,Davis Entertainment,Licht/Mueller Film Corporation;7-28-1995;1h 36m;video;https://image.tmdb.org/t/p/w500/qPNluNEvyHzmssidBiKzjU94GYT.png;8-22-2023;675
77;G.I. Joe: The Rise of Cobra;Dennis Quaid,Channing Tatum,Marlon Wayans,Sienna Miller,Joseph Gordon-Levitt;Stephen Sommers;Stuart Beattie,David Elliot,Paul Lovett;PG-13;terrorist,secret,hostage,technology,warhead;32.852443;When all else fails, they don't.;https://image.tmdb.org/t/p/w300/mc9b25IAprHfsaOz0wTshOwGHcY.jpg;https://image.tmdb.org/t/p/original/vBV2nF3yqYrskq2y1bSSuAuGqcz.jpg;en;From the Egyptian desert to deep below the polar ice caps, the elite G.I. JOE team uses the latest in next-generation spy and military equipment to fight the corrupt arms dealer Destro and the growing threat of the mysterious Cobra organization to prevent them from plunging the world into chaos.;ADVENTURE,ACTION,THRILLER,SCIENCE_FICTION;Paramount Pictures,Spyglass Entertainment,Di Bonaventura Pictures,Hasbro,Kontsept Film Company;8-4-2009;1h 53m;video;https://image.tmdb.org/t/p/w500/LFF9mn5UGJsdob6N9RuERWjVLq.png;8-29-2023;234
78;Inside Out;Amy Poehler,Phyllis Smith,Richard Kind,Bill Hader,Lewis Black;Pete Docter;Pete Docter,Meg LeFauve,Josh Cooley;PG;dream,cartoon,imaginary friend,animation,family;128.655964;Meet the little voices inside your head.;https://image.tmdb.org/t/p/w300/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg;https://image.tmdb.org/t/p/original/j29ekbcLpBvxnGk6LjdTc2EI5SA.jpg;en;Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.;DRAMA,COMEDY,ANIMATION,FAMILY;Walt Disney Pictures,Pixar Animation Studios;6-9-2015;2h 6m;video;https://image.tmdb.org/t/p/w500/r6fUkDoHks9PXgmw9CQU3CMBCZq.png;11-21-2023;234
80;Iron Man 2;Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Scarlett Johansson,Mickey Rourke;Jon Favreau;Justin Theroux;PG-13;Malibu,Marvel Comic,superhero,based on comic book,revenge;77.300194;It's not the armor that makes the hero, but the man inside.;https://image.tmdb.org/t/p/w300/6WBeq4fCfn7AN0o21W9qNcRF2l9.jpg;https://image.tmdb.org/t/p/original/7lmBufEG7P7Y1HClYK3gCxYrkgS.jpg;en;With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.;ADVENTURE,ACTION,SCIENCE_FICTION;Marvel Studios;4-28-2010;1h 46m;video;https://image.tmdb.org/t/p/w500/z4hbuJsQlsX1O1202xSbv7xBYyX.png;10-3-2023;765
